iter	Passed	Remaining
730	1279	470
731	1280	468
732	1282	467
733	1284	465
734	1285	463
735	1287	461
736	1289	460
737	1290	458
738	1292	456
739	1294	454
740	1295	452
741	1297	451
742	1299	449
743	1300	447
744	1302	445
745	1304	444
746	1305	442
747	1307	440
748	1309	438
749	1310	436
750	1312	435
751	1314	433
752	1315	431
753	1317	429
754	1319	428
755	1320	426
756	1322	424
757	1323	422
758	1325	420
759	1327	419
760	1328	417
761	1330	415
762	1331	413
763	1333	411
764	1335	410
765	1336	408
766	1338	406
767	1340	404
768	1341	403
769	1343	401
770	1345	399
771	1346	397
772	1348	395
773	1350	394
774	1351	392
775	1353	390
776	1355	388
777	1356	387
778	1358	385
779	1360	383
780	1361	381
781	1363	380
782	1365	378
783	1366	376
784	1368	374
785	1370	373
786	1371	371
787	1373	369
788	1375	367
789	1376	365
790	1378	364
791	1380	362
792	1381	360
793	1383	358
794	1385	357
795	1386	355
796	1388	353
797	1389	351
798	1392	350
799	1394	348
800	1396	346
801	1397	345
802	1399	343
803	1401	341
804	1402	339
805	1404	338
806	1406	336
807	1407	334
808	1409	332
809	1411	331
810	1414	329
811	1416	327
812	1418	326
813	1420	324
814	1421	322
815	1423	321
816	1425	319
817	1426	317
818	1428	315
819	1430	314
820	1432	312
821	1433	310
822	1435	308
823	1437	306
824	1438	305
825	1440	303
826	1442	301
827	1444	300
828	1445	298
829	1447	296
830	1449	294
831	1450	292
832	1452	291
833	1454	289
834	1455	287
835	1457	285
836	1459	284
837	1461	282
838	1462	280
839	1464	278
840	1466	277
841	1467	275
842	1469	273
843	1471	271
844	1472	270
845	1474	268
846	1476	266
847	1478	264
848	1479	263
849	1481	261
850	1483	259
851	1484	257
852	1486	256
853	1488	254
854	1489	252
855	1491	250
856	1493	249
857	1495	247
858	1497	245
859	1511	245
860	1540	248
861	1557	249
862	1570	249
863	1572	247
864	1574	245
865	1578	244
866	1586	243
867	1589	241
868	1592	239
869	1594	238
870	1595	236
871	1597	234
872	1599	232
873	1600	230
874	1602	228
875	1605	227
876	1607	225
877	1609	223
878	1611	221
879	1612	219
880	1614	218
881	1616	216
882	1617	214
883	1619	212
884	1621	210
885	1623	208
886	1624	206
887	1626	205
888	1628	203
889	1629	201
890	1631	199
891	1633	197
892	1634	195
893	1636	194
894	1640	192
895	1642	190
896	1643	188
897	1645	186
898	1647	185
899	1649	183
900	1650	181
901	1652	179
902	1654	177
903	1656	175
904	1657	174
905	1659	172
906	1661	170
907	1662	168
908	1664	166
909	1666	164
910	1667	162
911	1669	161
912	1671	159
913	1673	157
914	1674	155
915	1676	153
916	1678	151
917	1680	150
918	1681	148
919	1683	146
920	1684	144
921	1686	142
922	1688	140
923	1690	139
924	1692	137
925	1693	135
926	1695	133
927	1697	131
928	1699	129
929	1700	128
930	1702	126
931	1704	124
932	1706	122
933	1707	120
934	1709	118
935	1711	117
936	1713	115
937	1715	113
938	1716	111
939	1718	109
940	1721	107
941	1723	106
942	1725	104
943	1726	102
944	1728	100
945	1730	98
946	1732	96
947	1733	95
948	1735	93
949	1737	91
950	1739	89
951	1740	87
952	1742	85
953	1744	84
954	1746	82
955	1747	80
956	1749	78
957	1751	76
958	1752	74
959	1754	73
960	1756	71
961	1758	69
962	1759	67
963	1761	65
964	1763	63
965	1764	62
966	1766	60
967	1768	58
968	1771	56
969	1773	54
970	1774	53
971	1776	51
972	1778	49
973	1779	47
974	1781	45
975	1783	43
976	1784	42
977	1786	40
978	1788	38
979	1790	36
980	1792	34
981	1793	32
982	1795	31
983	1797	29
984	1799	27
985	1801	25
986	1803	23
987	1805	21
988	1806	20
989	1808	18
990	1810	16
991	1812	14
992	1813	12
993	1815	10
994	1817	9
995	1819	7
996	1821	5
997	1823	3
998	1824	1
999	1826	0
