iter	Logloss
0	0.6751318038
1	0.6553873861
2	0.6403344656
3	0.6303760867
4	0.619605957
5	0.612276445
6	0.6032550735
7	0.5960235656
8	0.5903195199
9	0.5844272366
10	0.5801515065
11	0.5739381558
12	0.5685011921
13	0.5644464518
14	0.5602845211
15	0.5570622675
16	0.5529615477
17	0.5485589325
18	0.5456425244
19	0.5416252516
20	0.5387012138
21	0.5360330498
22	0.5339062848
23	0.5317462026
24	0.5292363171
25	0.5273838789
26	0.5241460069
27	0.5219824562
28	0.520521828
29	0.5185249009
30	0.5164323605
31	0.5150086092
32	0.5130130086
33	0.5115376527
34	0.5100217132
35	0.5089462209
36	0.507916869
37	0.5061209433
38	0.5047378474
39	0.5035570183
40	0.5023967027
41	0.5012208629
42	0.5000036032
43	0.4984967617
44	0.497323622
45	0.4962770484
46	0.4946977678
47	0.4934949251
48	0.4921821586
49	0.4911247659
50	0.490140293
51	0.4885292053
52	0.4871470848
53	0.4862710559
54	0.4853868458
55	0.4849170841
56	0.483360627
57	0.4821208277
58	0.4812103097
59	0.4803848686
60	0.4792354669
61	0.47823832
62	0.4774100452
63	0.476688413
64	0.4759539875
65	0.4752896375
66	0.4743242802
67	0.4728606331
68	0.4720347685
69	0.4715731232
70	0.470997096
71	0.4700556243
72	0.4694421226
73	0.4688082976
74	0.4681948629
75	0.4676247335
76	0.4666704227
77	0.4659313363
78	0.465399468
79	0.4648107715
80	0.4641565143
81	0.4634601531
82	0.462489864
83	0.4612170989
84	0.4603901028
85	0.4597628963
86	0.4587905166
87	0.4581969429
88	0.4569081845
89	0.4563353685
90	0.4557270694
91	0.4547256666
92	0.4534923434
93	0.4528363252
94	0.4515273506
95	0.4507465943
96	0.4503709133
97	0.4494532989
98	0.4491730731
99	0.4489757267
100	0.4484496489
101	0.4478828096
102	0.446851315
103	0.4465526142
104	0.445788283
105	0.4452280512
106	0.444685065
107	0.4441421489
108	0.4433149546
109	0.4426149469
110	0.4419345387
111	0.4411386404
112	0.4404311878
113	0.4396607671
114	0.4391828173
115	0.4387909947
116	0.4384861155
117	0.4379648097
118	0.4372631427
119	0.4366102941
120	0.4354161599
121	0.4345822949
122	0.434110587
123	0.433507939
124	0.4329294982
125	0.4320848509
126	0.431708094
127	0.4310367908
128	0.4304644193
129	0.4299637461
130	0.4294107573
131	0.4287825358
132	0.428217104
133	0.4276210132
134	0.4273900121
135	0.4267065184
136	0.4259971001
137	0.4255324382
138	0.4248212391
139	0.4238394317
140	0.4235349135
141	0.4226041635
142	0.4220165681
143	0.4214614871
144	0.4206074023
145	0.4201058914
146	0.4196306745
147	0.4191167937
148	0.418376002
149	0.4179874228
150	0.4172415386
151	0.4167277329
152	0.4162143374
153	0.415530284
154	0.414898078
155	0.4143284549
156	0.4137405095
157	0.413303816
158	0.4128767164
159	0.4122394979
160	0.4116433502
161	0.4113595387
162	0.4110825567
163	0.4102790665
164	0.4094842324
165	0.4090161897
166	0.4080471751
167	0.4076876997
168	0.4065840694
169	0.4059100198
170	0.4050042717
171	0.4041722394
172	0.4032186316
173	0.4027493549
174	0.4018948661
175	0.4013560896
176	0.4006386049
177	0.4001961939
178	0.3995756221
179	0.3990291728
180	0.3981419178
181	0.3974938075
182	0.3967928872
183	0.3962356813
184	0.3953764518
185	0.3947966894
186	0.3942984908
187	0.3936293165
188	0.3929112179
